qid,questions,intention,answer
253,商米T2如何调整显示字体的大小,question,在收银机桌面点击“设置”->“显示”->“字体大小”，此处可缩小或放大屏幕上文字。
254,商米T2如何调整文字显示大小,question,在收银机桌面点击“设置”->“显示”->“显示大小”，此处可缩小或放大屏幕上显示的内容，部分App的显示位置可能会有变动。
255,商米T2为什么文字变成加粗黑体显示,question,检查是否开启了“高对比度文字”显示，在桌面点击【设置】>【无障碍】中可以选择启用或关闭。
256,商米T2如何使用副屏播放视频或者演示图片广告,question,请与搭配机器使用的收银软件商确认是否已适配客显屏播放视频或图片显示，副屏显示设置都需要在收银软件中进行设置。
257,商米T2调节音量大小,question,"方法一：在收银机桌面点击“设置”->“声音”，此处可调整音量大小；媒体音量影响软件的语音播报，通知音量将影响新消息推送提醒。
方法二：将主屏幕背面下方的塑料盖掀开，找到三颗圆形按键，上方两个按键是音量调节键。"
258,商米T2在应用市场中找不到要下载的APP，如何安装第三方APP,question,"首先，查看是哪个渠道商出货的收银机，步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。
如果标记名称是“SUNMI”代表是属于商米直接销售或代理商出货的机具，使用者可以从商米应用市场下载商米应用池内所有可见的应用。至于应用市场没有的应用，也支持通过浏览器在网页搜索下载安装APK；
如果“服务商”显示渠道商名称，则代表您的机具属于渠道定制机；渠道商为了保证其生态权利（提供独有的解决方案、专利或福利），我们将应用市场的控制权交给他们，他们可以调整该渠道出货机具的应用市场有哪些应用程序。销售人员一般都会讲清其销售设备的业务能力范围，而使用者购买前也建议向销售防确认是否能够满足自己的业务管理需求哦。
如果渠道应用市场缺少您需要使用的应用，您可以向设备购买的渠道商反馈，争取应用程序的上架。"
259,"商米T2安装从网页下载或者蓝牙接收到本地的应用APK，显示""应用未安装"" 或“禁止未经授权的APP安装”，如何处理",question,"如果您使用的是渠道机，而渠道商通过商米合作伙伴平台设置不允许安装第三方应用，则用户只能从应用市场下载安装应用，无法通过其他方式安装渠道应用市场未收录的应用。
如何查看机具是哪个渠道商出货的机具？步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。"
260,商米T2如何停用不必要的应用,question,"支持停用部分应用，设置>应用>选择应用>停用；
对于自行安装的APP，您可以尝试使用以下步骤卸载：在设备桌面长按APP图标拖拽到屏幕上方，出现删除图标放开卸载APP。"
261,商米T2为什么有部分应用无法卸载,question,如果您使用的是渠道定制机，而渠道合作伙伴在其专属应用市场将某些App设置为“默认启动”或“自动安装”，则用户无法在旗下机具上删除这部分应用。
262,商米T2支持外接哪些硬件？,question,"T2扩展接口位于机身背面藏线盖内，从底下凹槽轻轻打开。接口分别有： 1x电源口,1xRJ12钱箱口,1xRJ45 LAN口,4xUSB TypeA口, 1xRJ11串口,1x耳机口。"
263,商米T2是否支持外接RS232接口的设备，如打印机、电子秤,question,支持标准RS232串口设备，可连接电子秤、串口打印机等设备; 可以直接购买商米RJ11转RS232数据线，或者自行购买转接线时提供RJ11接口的线序给厂家定制。
264,商米T2如何外接钱箱,question,"T2只支持外接24V/1A钱箱，如果使用12V钱箱可能存在烧毁钱箱电路隐患；可连接RJ12钱箱专用口外接钱箱使用。
物理通讯测试可用：爱宝钱箱 12/24V钱箱可用 ，其他24V/1A RJ11接口的钱箱也可。"
265,商米T2如何外接扫码枪,question,"可以使用USB接口外接有线或无线扫码枪。USB有线免驱动的扫码枪没有品牌及型号限制，即插即用；
物理通讯测试可用：新大陆 NLS-OY10(一维码）、NLS-HR22（二维码）、NLS-HR11(一维码）、NLS-HR22（二维码）；民德 MD6100(激光二维码） MD2250(激光一维码）"
266,商米T2如何外接电子秤,question,"系统版本支持：在收银机桌面找到“系统更新”，联网将系统升级到最新版本；如果未检测到版本，请联系商米技术支持推送。
单屏&双大屏（版本号1.2.16，固件号196）双大屏（版本号1.2.15，固件号194）。

硬件连接要求：T2有专门的RJ11接口通讯口可连接电子秤；支持外接有线连接和蓝牙连接的电子秤。
部分有线连接的电子秤是国标的RS232串口，可购买商米RJ11转RS232数据线连接实现物理通讯接通。

电子秤购买：因为不同收银软件商可能会适配特定型号的电子秤，具体请咨询收银软件商应该购买哪个型号的电子秤。 (常见可用的有线电子秤：大华ACS-15AB)"
267,商米T2如何外接会员卡读写器？,question,"商米目前已经支持四款第三方usb通用读写器，软件开发者可参考商米提供的demo做读卡写卡操作。购买读卡器务必说明需要适配商米的型号。
1.上海亿矽智能科技有限公司UM002读卡器(开发文档中有购买联系方式)
2.深圳市德卡科技有限公司T20读写器（需支持android版本，电源充电版）
3.香港龙杰智能卡有限公司ACR1281U-C1读写器
4.香港龙杰智能卡有限公司ACR1281U-K1读写器"
268,商米T2是否支持通过HDMI连接电视显示屏,question,T2不支持HDMI物理接口。
269,商米T2是否支持外接摄像头使用？,question,"T2的USB 2.0接口支持外接USB摄像头 (符合UVC规格），首先从网上下载安卓的摄像头软件，例如: webcame, Netcamera等，再外接USB摄像头。
注意：需要特定的商米系统版本才能支持！"
270,商米T2能否连接USB密码键盘？,question,T2可以连接免驱的USB有线密码键盘。
271,商米T2能否连接U盘传输文件？,question,T2支持连接U盘，支持的U盘格式: FAT32:可读可写，如果是其他格式会有限制：NTFS:可读不可写 ;exFAT:不支持；
272,商米T2是否支持外接USB接口的3G/4G无线上网卡？,question,"可以选择购买免驱动只需USB供电的随身WiFi，例如华为随行WiFi2，这类给设备供电就有4G WiFi热点的设备；
注意外接USB网卡需要安装驱动的型号就不能直接用，因为驱动一般只提供Windows和Mac系统，不支持安卓系统。"
273,商米T2是否支持4G 全网通SIM卡模块？,question,T2标配机型不支持，需要批量下单定制支持3G模块的机型。建议考虑外接4G无线网卡。
274,商米T2是否有内置MIC？,question,T2没有内置MIC麦克风，需要连接蓝牙麦克风或外接麦克风插入音频口使用。
275,商米T2T2使用USB数据线连接电脑传输文件，如何操作？,question,机器通过USB数据线与电脑连接后，在T2主屏幕顶部往下滑，在菜单中选择“USB选项”，点击“文件传输”即可。
276,商米T2收银机使用USB数据线连接电脑传输文件，无法选择USB连接类型，如何处理？,question,"如果机器通过USB数据线与电脑连接后，通知栏没有出现“USB选项”，可点击“设置”->“开发者选项”，点击“选择USB配置”选择“MTP(媒体传输协议)”。
(找不到“开发者选项”？点击“设置”->“关于”，连续点击“版本号”7次即可显示)"
277,商米T2使用哪种规格的热敏纸？,question,T2使用80mm*80mm的热敏纸，纸卷直径最大支持80mm。
278,商米T2可否使用58规格的热敏纸？,question,"商米T2内置打印机仓可容纳80mm*80mm规格的打印纸，如果您需要使用58mm规格的打印纸，您可以购买专用58打印挡板，用以固定58mm打印纸卷；
在下图“挡板安装位置”示意图的右侧放入58规格打印纸；安装时注意先将挡板对准下边的卡扣，然后上边对齐卡扣，再往里推入卡紧。
然后在更改机器的打印设置，步骤：设置->打印->内置打印管理->打印纸规格，切换成 58mm模式，重新启动该设备后生效；以后就能使用58mm打印纸打印。"
279,商米T2如何拆下58规格打印挡板，切换使用80规格打印纸？,question,"如果内置打印机仓在初次安装时放入了容纳58打印挡板，用以固定58mm打印纸卷；如果您需要切换使用80mm规格的打印纸，您可以将58打印挡板的下端拉出，拆卸存放好；
然后在更改机器的打印设置，步骤：设置->打印->内置打印管理->打印纸规格，切换成 80mm模式，重新启动该设备后生效；以后就能使用80mm打印纸打印。"
280,商米T2其他设备是否可以把T2当蓝牙打印机来使用？,question,不可以。T2内置打印机是通过商米的底层封装虚拟的连接完成的，只支持设备自己使用。
281,商米T2如何在APP中通过蓝牙连接自带的打印机？(APP通过蓝牙调用内置打印机),question,"1.在桌面上找到""设置""->""蓝牙""->开启蓝牙开关。
2.回到桌面，打开需要打印票据的APP，找到打印设置，点击连接或添加打印机，选择“InnerPrinter” 连接成功后，再打印即可。"
282,商米T2内置打印机是否支持打印热敏标签/不干胶标签？,question,收银机内置的是热敏票据打印机，不支持打印不干胶标签，建议购买专用的标签打印机外接使用。
283,商米T2是否支持黑标打印？,question,"商米 T2 可使用符合规范的黑标打印纸进行打印，要求黑标需要在纸张水平中间位置才能被检纸传感器器检测到。
用户可以在 设置->打印->内置打印管理中对黑标模式和切刀位置进行修改。"
284,商米T2硬件管家可以检查哪些硬件功能是否正常？,question,"在桌面找到“硬件管家”，可以检测以下硬件项目：
1、硬件管家->本机信息：可查看设备的详细信息及参数；
2、硬件管家->网络状况：可查看/测试本机网络情况、测试信号强度和网络稳定性；
3、硬件管家->打印机：可测试设备的打印及打印头老化测试；
4、硬件管家->显示屏：可设置屏幕亮度并测试显示屏颜色是否正确；
5、硬件管家->触屏：可测试设备触屏灵敏度是否无误。
6、硬件管家->喇叭：可诊断设备的喇叭状态；
7、硬件管家->切刀：可测试打印切刀是否正常；
8、硬件管家->钱箱：可测试钱箱是否正常打开；"
285,商米T2开不了机，如何处理？,question,"1.检查收银机背面后盖的电源插口是否连接正常；检查电源适配器与电源线的连接处是否插紧；
2.拔出所有外接设备的数据连接线，重新插拔下收银机后盖电源插头。
3.有条件可以更换电源适配器交叉测试判断是适配器问题还是机器问题。"
286,商米T2死机怎么办？,question,找到机器背面的电源适配器接口，拔下电源线后重新插上，等待5s后，再短按电源键2秒开启。
287,商米T2初次开机，无法激活，如何处理？,question,"1. 手机分享热点给T2连接，测试是否网络异常导致无法联网激活；
2. 重新启动，再试。
3. 使用其他商米设备测试打开应用市场是否可以下载应用，如果是伺服器异常，请稍后再试。"
288,商米T2系统更新下载升级包失败，如何处理？,question,点击 设置->应用->点击右上角显示系统进程->找到系统更新->储存空间->清除数据，重启机器，再次下载更新试试。
289,商米T2连接WiFi提示网络连接失败；WiFi连接后不能上网,question,"1.收银设备能搜索到WiFi网络，一般代表无线网卡硬件正常，大概率属于网络配置问题，尝试重新启动机具，试试是否恢复正常；
2. 如果仍然无法联网，可在收银机桌面点击 设置->硬件管家->测试网络是否通畅，点击“开始测试”查看网络测试结果是否良好，判断是否网络不稳定或网络不通导致的问题；
同时使用其他设备连接同一WiFi网络，如果其他设备能够联网，继续下一步排查；
如果其他设备也不能联网，请检查无线路由器的设置以及联系宽带的服务商排查网络问题；
3. 可能是网络缓存数据有问题，在收银机桌面点击 设置->更多，选择“重置网络设置”；完成后再打开 设置->硬件管家->测试网络是否恢复正常；
4. 可能属于无线路由器或宽带网络问题，尝试切换其他无线网络或手机开热点让收银机连接，测试是否WiFi的网络问题。如果能够连接其他WiFi热点代表设备硬件没问题，请继续下一步排查；
5.可能是周围的WiFi信号互有干扰，建议重启路由器，如果问题仍然存在，可能需要修改路由器的无线配置（例如WiFi信道选择1-11，WiFi加密方式改WPA2,WPA等试试)。"
290,商米T2插入网线连接后，无法连接网络,question,"请尝试以下方法：
1. 检查网线连接后，网线状态灯是否正常闪烁；如果状态灯不亮，需要检查是否网络异常，有条件可以更换网线测试；确认网线连接其他设备可以正常使用。
2. 检查屏幕右上角是否显示有线网已成功连接的logo。如果网线状态灯亮，但是不显示网络已连接的Logo，可检查是否局域网内的DHCP服务是否启用；
如果使用固定IP联网方式，需要在设置->有线网->静态->设置静态IP的方式连接网络。注意：静态IP地址、网络前缀长度、DNS和网关的数据要咨询网络管理员获取。
3. 如果屏幕右上角显示有线网已成功连接的logo，但是某个APP不能联网，那么属于该APP的问题；如果网络检查无问题，所有应用均无法联网，尝试以下步骤：设置->备份和重置，选择“重置网络设置”，关机后重新开机，开机后不要打开任何APP，只是打开硬件管家，测试网络是否通畅。
4. 如果是连网不稳定，可以点击设置->硬件管家->测试网络的信号强度及网络稳定性、如果网络存在连接不稳定或信号弱，则需要检查路由器或者联系当地运营商核实网络状况。"
291,商米T2为什么T2网络测速比电脑网络测试要慢,question,T2内置100兆网卡，而目前电脑大多内置1000兆网卡，所以网络测试对比可能会有差异。
292,商米T2外接扫码枪不能使用、不能扫码,question,"收银机支持USB HID 协议有线连接免驱动的扫码设备（相当于标准的键盘输入设备），支持即插即用。
无线扫码枪一般支持Windows设备为主，安卓系统大多不兼容，请与厂家确认是否支持。
外接USB接口的有线扫码枪有问题，按照以下步骤排查：
1、检查扫码枪是否已通电；连接时有蜂鸣声提示，按压扫码有红光。
如果扫描枪未通电，按照以下步骤排查：
1)检查收银机物理接口连接了哪些设备，拔出所有外接的外设；
2)更换其他USB接口连接重新连接，再试；
3)将扫码枪换到其他设备上测试是否可用，如果在其他设备上扫码枪可用，则将收银机关机重新启动再连接扫码枪试试是否可用。
2、测试扫描枪是否能捕获条码的数据；在桌面打开计算器app，使用扫码枪分别扫描商品条码和手机付款码，查看是否能获取条码数据。
如果扫商品的条码可以获取条码数据，代表硬件连接正常可使用，请检查收银软件的设置是否问题。
如果扫商品的条码不能获取条码数据，按照以下步骤排查：
1) USB接口多连接几个设备，例如USB扫码枪、鼠标、键盘；然后在收银机桌面打开【设置】->【关于设备】->连续点击6下固件版本号->输入密码“1234” ->选择CIT Preload->USB，查看“检测到的外置USB设备有”多少个；如果能检测到USB设备，代表USB接口工作正常。如果检测USB设备为0个，可能USB接口有故障。
2) 如果USB接口工作正常，只是扫码枪不能扫描，请注意商品条形码是否有欠缺和破损；扫码枪是否兼容商品的条形码类型；还有扫码枪是否支持扫描屏幕（部分扫码枪只能扫描纸质上的条码）；"
293,商米T2用扫码枪或扫码盒扫描条码/二维码识别数值不完整，缺少部分数值,question,可能是扫码枪扫码识别的数值经过输入法输出，被输入法截取了部分数值，您可以在收银机桌面点击 设置->扫码与键盘，找到“已接入的键盘或其他设备”选择输出方式为“扫码设备”->点击“保存”，设置完成后扫码枪扫码，识别内容不会经过输入法直接输出到UI界面。
294,商米T2收银机连接USB扫码枪，不显示屏幕键盘,question,"台式收银机内置谷歌输入法在连接外部USB键盘输入设备时，默认不显示屏幕软键盘。如果您需要显示屏幕软键盘，可按以下步骤操作开启屏幕软键盘显示：
1)在可输入内容的画面点解右下角键盘图标：
2)在菜单中找到“【A】配置实体键盘”->开启“显示虚拟键盘”，返回即可显示屏幕键盘。"
295,商米T2无法识别SD卡，不能读SD卡,question,"1.检查在其他设备是否能识别SD卡，确认SD卡是否有问题。
2.如果是新的SD卡或者确认SD卡无需要保留的内容，请将SD卡通过读卡器连接个人电脑，将SD卡格式化，文件系统格式选择“FAT32（默认）”，完成格式化后再将SD卡插到机具上使用。
3.如果在业务App中看不到SD卡的文件，请检查在浏览文件的菜单中是否有勾选“显示SD卡”选项。"
296,商米T2APP使用时没有声音提示,question,"1. 测试其他APP是否有声音提示，如果只是某个APP没有提示音，其他APP可正常使用，请尝试卸载该APP重新安装。
2.找到主屏幕背面左下角的塑料盖板打开，连续按下多次音量加按键调高音量。
3. 如果音量仍然没有提高尝试重启机具观察是否恢复正常。
4. 不要屏蔽App通知：点击设置->提示音和通知->通知->应用通知->相应APP->屏蔽，看看是不是开启了屏蔽功能，如果开启，关闭即可。"
297,商米T2外接音箱调高音量，重启设备后，为什么音量会变小？,question,安卓系统的设备，在外接耳机或音箱的情况下，调至最大音量会提示是否将音量调到安全级别以上的提示，如果音量调到安全线以上，重启设备以后，音量会自动返回到安全线以下（也就是前面说的恢复默认音量）。
298,商米T2外接音箱输出的音量比原来的声音小,question,T2的音频口是CTIA标准4段式的，如果外接插上3段式的音响接口输出音量会变小的，需要买根转换线转成3段的才可以。
299,商米T2屏幕触控异常,question,"尝试以下方法：
1.使用硬件管家->触屏检测，多指触摸屏幕测试屏幕触控是否正常；如果有异常，转下一步继续；
2.重新启动，再使用硬件管家做触屏测试；排除应用影响，如果仍有问题，转下一步继续；
3.检查系统是否已更新到最新版本；
4.确认是否使用原装电源适配器；（T2采用24V/2.5A电源适配器，有条件可更换一个测试是否电源适配器故障导致）
5.请将收银机移至另一个店铺、办公室测试开机触屏是否可以正常使用，如果在其他地方电容屏可以正常触控，请按照以下方式排查电路问题。
a.检查插座是否有接线；(电工检查电路是否有接地线，用测电笔接触设备的金属（microusb旁边的金属）测试是否会亮 亮就代表没接地。)
b.电容触摸屏可能受到附近的大功率设备（变频器、电机、灯箱、镇流器）的电磁干扰，请将机器关机移至新区域再开机测试问题是否仍然存在；如果确认存在电磁干扰，可以逐个电器开关排查哪个是干扰源。"
300,商米T2双屏：副屏黑屏，不显示，主屏正常显示,question,将机器底座上的圆形电源插口拔出，断电5分钟后再开机，多测几次查看看副屏是否恢复显示。
301,商米T2打印内容空白，怎么处理？,question,请检查纸卷方向是否放反，热敏打印纸区分正反面的，若装反了会没有字显示的。
302,商米T2打印变淡、打印模糊、打印字体不清晰 ,question,"当打印机使用一段时间后机头附近可能会积累一些纸屑纸粉，会导致票据打印不清晰；
如果纸屑掉进机头活动部件中还会导致机头损坏，或打印机工作不正常，所以应该定期清理纸屑，灰尘，粉尘。
清洁工具：
清理纸屑步骤：
1)在清理之前将收银机整机的电源关掉（长按下电源键2秒，选择关机）；
2)然后使用清洁毛刷将轻轻的将出纸口附近的纸屑刷掉；
3)打开打印机盖取出纸卷；
4)使用吹气球将齿轮、测纸传感器及切刀附近的纸屑动吹尽，以及用清洁毛刷清理打印头其它地方的纸屑。
清洗打印头步骤：
当打印机在使用一段时间后有时会出现打印字体没有以前清晰时，应及时进行清洗：
1)在清洗之前将收银机整机的电源关掉（长按下电源键2秒，选择关机）；
2)打开打印机盖取出纸卷;
3)用干净细软的棉球蘸少许酒精或是用湿纸巾轻轻涂抹打印头片直至将脏物抹掉。齿轮处用同样的方法清理。
建议：每月定期进行两次以上清理，如果使用的是低质量纸卷，可根椐实际情况增加清理次数！"
303,商米T2打印机门盖打不开，如何处理？,question,"a. 目视纸仓门出纸口，查看切刀是否明显处于推出状态；
b. 打开打印出纸口上方切刀盖，向上旋转白色切刀旋钮，使切刀退回最顶部；
c. 确认刀退回以后，因为有纸卡住了门盖打不开，需要用手拉翻盖出纸口位置，将门盖强行打开；
d. 如果卡的纸处理干净了，再检查压纸棍是否已经变形损坏，如果没有变形才测试是否已修复。"
304,商米T2打印机门盖关不上，如何处理？,question,"1.关于用纸方面的须知，必须要用国际标准的大纸芯打印纸，否则有一定概率会出现卡纸及走纸不正常的情况。
2.平时关闭纸仓时双手轻轻按压仓门的顶端完全闭合盖子。如果关闭打印舱门的时候用力太大或者太快，强行按压门盖，可能会导致压纸滚轴支撑钣金变形，导致压制胶辊齿轮无法良好契合打印机，致使打印机滚轴齿轮打滑，出现打印不走纸。这个时候应该把滚轴拆卸下来检验是否出现明显变形，如已变形，需要付费更换配件。"
305,商米T2打印机切纸只能切一半，如何处理？,question,"a.点击硬件管家->切刀->点此切纸一次，测试是否能够切纸；能切纸则需要检查是否业务APP的问题，如果不能切纸则转b继续检查；
b.打开门盖，检查压纸棍金属铁片是否变形；打开打印出纸口上方切刀盖，检查切刀安装是否错位；如发现硬件故障需要送售后维修处理。"
306,商米T2为什么打印机打印出来的内容全是黑块？,question,首先使用硬件管家->打印机->测试使用硬件管家的打印机测试，看看打印是否正常。如果正常应该是APP的打印设置问题，若还是黑块，则点击恢复出厂测试是否恢复正常，问题仍然存在则是打印机硬件问题。
307,商米T2打印空白，出现提示“未检测到黑标，请检查”,question,"如果你使用的APP不需要黑标打印功能，可以在 设置->打印->内置打印管理->打印模式选项中切换成 普通热敏模式。
重新启动该设备后生效；"
308,商米T2打印机小票打印的内容没有居中，只有一半？,question,请检查在 设置->打印->内置打印管理中，打印纸可以选择58或80，请确认选择的是80mm。
309,商米T2打印机不工作，报“打印机未准备好”，如何处理？,question,"a. 点击硬件管家->打印机，查看“序列号”和“型号”；
（1）有显示信息，转b继续检查；
（2）没信息，而是显示“--”，转c继续检查；
b. 检查打印机状态是否正常：点击 设置->关于设备->硬件信息，查看打印机状态是【√】还是【X】，如果是【X】，点击右上角的刷下按键，重新开关机，在硬件管家测试打印，查看故障是否依旧，多测几次来判断；
c.如果问题仍然存在，请送售后维修处理。"
310,商米T2打印机不工作，报“打印机切刀已经修复”，如何处理？,question,"首先打开打印纸仓，再次关闭纸仓时双手轻轻按压仓门的顶端确认完全闭合盖子。如果仍然提示“打印机切刀已经修复”而无法打印请继续下一步。
a. 点击硬件管家->打印机，查看“序列号”和“型号”；
（1）有显示信息，转b继续检查；
（2）没信息，而是显示“--”，转c继续检查；
b. 打开纸仓门盖，装纸合盖，查看是否正常切纸；
（1）会正常切纸，说明故障偶现，需要多测几次来判断；
（2）切刀有动作，切不断纸，并且自动回刀，屏幕立刻报切刀已修复；判定为压纸棍金属变形或者切刀变形，需更换。
c. 检查打印机状态是否正常：点击 设置->关于设备->硬件信息，查看打印机状态是【√】还是【X】，如果是【X】，点击右上角的刷下按键，然后重启看看是否恢复正常。如果问题仍然存在，请送售后维修处理。"
311,商米T2打印机不工作，报“打印纸未准备好”，如何处理？,question,"打开纸仓门盖，装纸合盖，查看是否已放入打印纸，盒盖后是否正常切纸；
（1）会正常切纸，说明故障偶现，需要多测几次来判断；
（2）切刀无动作，仍然报打印纸未准备好，请送售后维修处理。"
312,商米V2Pro支持什么种类的SIM卡,question,V2 Pro机型使用标准SIM卡，如果用Nano-SIM、Micro-。
313,商米V2Pro充电器,question,V2 Pro设备使用5V2A Type-C接口电源适配器充电。
314,商米V2Pro的工作温度是多少？,question,V2 Pro的工作温度是0℃-45℃，储藏温度是-40℃-70℃。
315,商米V2Pro插入流量卡、物联卡无法联网怎么处理？,question,"1.确认机具已放入SIM卡(中国移动/中国联通/中国电信的4G/3G/2G网络）
2.从屏幕顶部下滑，在快捷开关中点选(运营商名称)将“移动数据网络”开关开启。
"
316,商米V2Pro如何截屏？,question,同时按下电源键和音量下按键 2秒，截取的图片可以在“图库”>“屏幕截图”中查看。（注：如果设置了音量键自定义功能键将无法使用快捷键截图，可以到设置中关闭该功能）
317,商米V2Pro4G版如何使用eSIM卡连接移动网络？,question,V2 PRO 4G版本无需插入SIM卡，无需设置WIFI设备，开机在【欢迎页面】选择免费eSIM网络连接，或者通过桌面找到【流量管家】App注册帐号联网；首次赠送200MB流量，后续可选择购买流量套餐。
318,商米V2Pro是否支持WiFi热点分享？,question,支持，在桌面点击 设置 ->更多-> 网络共享与便携式热点，可开启WLAN热点；设备将会使用SIM卡的移动网络共享流量给其他设备使用。
319,商米V2Pro如何设置快速打开应用的快捷键？,question,"V2 PRO加入了音量键自定义功能，您可以在“设置->音量键自定义”中设置单按上、下音量键快捷开启指定应用的功能。
注意：开启此功能会影响音量键调节音量功能不可用。V2 PRO 4G高配版搭配一维扫码头，默认音量键自定义的上音量键和下音量键设置快捷操作为【扫码服务/扫码】。"
320,商米V2Pro如何查看流量使用情况？,question,进入设置 -> 流量使用情况，可分别查看移动网络 或 WLAN的流量使用情况。
321,商米V2Pro测试扫码头是否能够正常工作（V2Pro 4G高配版）,question,您可以在“设置->扫码头设置”，点击右上角的“扫码头测试”，然后按压屏幕左侧的音量加或音量减按键开启扫码识别一维码测试是否有数据输出到下方页面。
322,商米V2Pro如何修改一维扫码头的扫描识别设置？,question,V2 PRO 4G高配版搭配一维扫码头，您可以在“设置->扫码头设置”选择开启或关闭指定识别码(默认开启全部识别码)、变更输出编码的设置、变更扫码结果的输出方式设置等相关操作。
323,商米V2Pro如何调整文字显示大小？,question,在收银机桌面点击“设置”->“显示”->“字体大小”，此处可缩小或放大屏幕上文字。
324,商米V2Pro为什么文字变成加粗黑体显示？,question,检查是否开启了“高对比度文字”显示，在桌面点击【设置】>【无障碍】中可以选择启用或关闭。
325,商米V2Pro如何调整屏幕显示大小？,question,在收银机桌面点击“设置”->“显示”->“显示大小”，此处可缩小或放大屏幕上显示的内容，部分App的显示位置可能会有变动。
326,商米V2Pro如何设置手持收银设备的音量？,question,在桌面点击设置 ->声音，查看“媒体音量”，将音量降低或提高。
327,商米V2Pro在应用市场中找不到要下载的APP，如何安装第三方APP？,question,"首先，请查看机具是哪个渠道商出货的机具，步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。
如果标记名称是“SUNMI”代表是属于商米直接销售或代理商出货的机具，使用者可以从商米应用市场下载商米应用池内所有可见的应用。至于应用市场没有的应用，也支持通过浏览器在网页搜索下载安装APK； 
如果“服务商”显示渠道商名称，则代表您的机具属于渠道定制机；渠道商为了保证其生态权利（提供独有的解决方案、专利或福利），我们将应用市场的控制权交给他们，他们可以调整该渠道出货机具的应用市场有哪些应用程序。销售人员一般都会讲清其销售设备的业务能力范围，而使用者购买前也建议向销售防确认是否能够满足自己的业务管理需求哦。
如果渠道应用市场缺少您需要使用的应用，您可以向设备购买的渠道商反馈，争取应用程序的上架。"
328,"商米V2Pro安装从网页下载或者蓝牙接收到本地的应用APK，显示""应用未安装"" 或“禁止未经授权的APP安装”，如何处理？",question,"如果您使用的是渠道机，而渠道合作伙伴在后台设置不允许安装第三分应用，则用户只能从应用市场下载安装应用，无法通过其他方式安装渠道应用市场未收录的应用。
如何查看机具是哪个渠道商出货的机具？步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。"
329,商米V2Pro手持收银设备内置什么输入法，安装第三方输入法怎么切换使用？,question,V2 PRO内置谷歌中文输入法，如果您已经安装了其他输入法，可在任意一个允许输入的界面，按右下角的小键盘图标->选择键盘->将您需要使用的输入法启用，然后点击小键盘图标切换方可使用。
330,"商米V2Pro从应用市场下载应用提示""应用下载失败，请检查网络后重新下载”，如何处理？",question,确认连接的网络没有问题，然后在桌面打开“系统更新”，请升级到最新的系统后再试。
331,商米V2Pro如何停用不必要的应用？,question,"支持停用部分应用，设置>应用>选择应用>停用；
对于自行安装的APP，您可以尝试使用以下步骤卸载：在设备桌面长按APP图标拖拽到屏幕上方，出现删除图标放开卸载APP。
"
332,商米V2Pro为什么有部分应用无法卸载？,question,如果您使用的是渠道定制机，而渠道合作伙伴在其专属应用市场将部分应用设置为默认启动/自动安装，则用户无法在旗下机具上删除这部分应用。
333,商米V2Pro系统更新会自动下载吗？会不会影响到日常工作？,question,为了不影响商户日常工作，系统更新不会自动下载更新和安装。您可以在设备首页的“系统更新”中升级更新设备系统。
334,商米V2Pro如何禁止系统及应用在4G状态下自动更新,question,"关闭系统自动更新：默认在4G状态下不会自动进行系统更新。
关闭自动下载应用：打开应用市场->我的->开启“省流量模式”。"
335,商米V2Pro如何恢复出厂设置,question,"点击 设置->重置->恢复出厂设置。
注意：恢复出厂设置将会清除机器所有数据，请谨慎操作。"
336,商米V2Pro时间不对，时间设置怎么是灰色的？,question,"系统时间默认自动同步时间和时区，检查设置->日期和时间->自动确定日期和时间，选择使用网络提供时间，请确认设备已连接WiFi或者移动网络，联网后将自动同步时间；
如果没有可用网络的情况下，也可以在设置-日期和时间-自动确定日期和时间，关闭自动同步时间功能，手动设置时间。"
337,商米V2Pro是否提供系统刷机包,question,为了系统安全考虑，商米不提供系统刷机包。但是我们会持续给现有机具通过OTA方式推送系统更新。
338,商米V2Pro商米设备既然是安卓操作系统，那么是否可以获取ROOT权限,question,为了设备的安全性和系统稳定性考虑，商米限制不能获取到设备的root权限
339,商米V2Pro内置GPS芯片吗？是否支持GPS定位？,question,手持机有内置GPS芯片，也可以通过网络定位，在设置->位置中开启定位服务模式，支持定位功能的App可获取设备位置。
340,商米V2Pro设置密码锁屏，但是忘记了密码，怎么处理,question,请与设备购买商联系，申请通过远程方式清除锁屏密码；如果设备系统版本未支持或者无法联系到设备购买商，请联系售后刷机处理。
341,商米V2Pro安全模式是什么？不小心进入了安全模式，怎么退出？屏幕上的应用图标是灰色的，无法打开，怎么解决？,question,"安全模式是安卓系统的一个特殊模式，它的原理与Windows 的安全模式相似。如果安卓系统出现类似软件，例如应用程序引发的死机、重启或电池很快耗尽，此时可进入安全模式来检查问题是否为应用程序所造成。在安全模式中，系统不会加载非预装应用程序，仅会就自身的系统来进行正常启动。这样用户便能进行系统检测、修复错误，或卸载有问题的应用程序。
如何进入安全模式？在开机显示开机动画时，按住""音量减""键直到进入系统桌面，此时桌面左下方显示「安全模式」即表示成功。
如何退出安全模式？重新启动即可退出。
"
